id_foca,lat_var,lat_std,lon_var,lon_std,spread,iso_label
Foca_1,0.014281376680001564,0.11950471404928578,0.014763177517521712,0.12150381688458067,0.029044554197523276,1
Foca_10,0.014467353642766948,0.12028031278129829,0.01462599297335631,0.12093797159435207,0.029093346616123256,1
Foca_2,2.5355712525758153e-05,0.00503544561342471,2.6525962277582633e-05,0.005150336132485203,5.188167480334078e-05,-1
Foca_3,0.014216010988256856,0.11923091456605059,0.0146903924220377,0.12120392907013246,0.028906403410294556,1
Foca_4,0.014441859202966109,0.12017428677951913,0.014009750358805131,0.11836279127667246,0.02845160956177124,1
Foca_5,0.014033176763417789,0.11846171011520047,0.01456095005830291,0.12066876173352784,0.0285941268217207,1
Foca_6,0.014118709424669806,0.1188221756435633,0.01452310256476711,0.12051183578705915,0.028641811989436917,1
Foca_7,0.014666222241842565,0.1211041792913959,0.014074738174427172,0.11863700170868771,0.028740960416269737,1
Foca_8,0.013252200296414454,0.11511820141235031,0.014554442828906779,0.12064179553084735,0.02780664312532123,1
Foca_9,0.013830007779284077,0.11760105347863206,0.014318207650040288,0.11965871322239885,0.028148215429324365,1
