id_foca,lat_var,lat_std,lon_var,lon_std,spread,iso_label
Foca_1,2.5138156046386847e-05,0.005013796570104021,2.4043677697358687e-05,0.004903435295520752,4.9181833743745534e-05,-1
Foca_10,0.014618845287043963,0.12090841694044284,0.013987967565396456,0.11827073841570643,0.02860681285244042,1
Foca_2,0.014598765786384844,0.12082535241572791,0.014725912740936696,0.12135037182034794,0.02932467852732154,1
Foca_3,0.014323115139916083,0.11967921766086242,0.015405677519125421,0.12411960972838024,0.029728792659041506,1
Foca_4,0.015237989632150938,0.12344225221596913,0.014744532483504246,0.12142706651938952,0.029982522115655184,1
Foca_5,0.01372565024720395,0.11715652029316999,0.014583748785722526,0.12076319300897326,0.028309399032926476,1
Foca_6,0.014789647642611118,0.12161269523619284,0.014858376550159452,0.12189494062576778,0.029648024192770572,1
Foca_7,0.014262349753998088,0.11942508008788644,0.015199223863555855,0.12328513237027348,0.029461573617553943,1
Foca_8,0.014565018408555232,0.12068561806841456,0.014187874000838119,0.11911286244918354,0.02875289240939335,1
Foca_9,0.014493404988904402,0.12038855838037268,0.01405046738253866,0.11853466742914774,0.02854387237144306,1
